Causa,Fecha_Evento,Fenomeno,idEvento,idFenomeno_1,idFenomeno,idLocalidad,idMunicipio,idRegion,Latitud,Longitud,Nombre,Nombre_1,Nombre_12,Nombre_12_
PrecipitaciÛn,"mayo 10, 2017",HidrometeorolÛgicos,103.256,1,1,201,66,9,"15,45","-92,88",AFECTACIONES EN MAPASTEPEC POR EL FF NO. 46,Istmo-Costa,Mapastepec,MAPASTEPEC
Afectaciones por lluvias,"mayo 10, 2017",HidrometeorolÛgicos,103.31,80,1,20.038,34,15,"16,24","-92,12",ENCHARCAMIENTOS POR FUERTES LLUVIAS,Meseta Comiteca Tojolabal,Comitan de Dominguez,CABECERA MUNICIPAL
Verificaciones,"mayo 11, 2017",Acciones de PrevenciÛn,103.405,52,8,20.119,115,1,"16,74","-93,10",AFECTACIONES POR LLUVIAS,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
PrecipitaciÛn,"mayo 13, 2017",HidrometeorolÛgicos,103.499,1,1,20.119,115,1,"16,75","-93,12",VERIFICACION DE AFECTACIONES POR LLUVIAS EN TUXTLA,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Inundacion Pluvial,"mayo 12, 2017",HidrometeorolÛgicos,103.523,68,1,20.127,123,14,"17,17","-92,33",AFECTACIONES DE LA LLUVIA,Tulij· Tseltal-Chol,YajalÛn,CABECERA MUNICIPAL
Afectaciones por lluvias,"abril 28, 2017",HidrometeorolÛgicos,103.978,80,1,20.034,30,10,"15,01","-92,17",RECORRIDO PREVENTIVO DURANTE LLUVIA,Soconusco,Cacahoat·n,CABECERA MUNICIPAL
Verificaciones,"mayo 18, 2017",Acciones de PrevenciÛn,104.044,52,8,20.108,104,10,"14,88","-92,28","¡RBOLES CAÕDOS, ENCHARCAMIENTOS POR LLUVIAS FUERTE",Soconusco,Tapachula,CABECERA MUNICIPAL
Verificaciones,"mayo 18, 2017",Acciones de PrevenciÛn,104.046,52,8,20.108,104,10,"14,91","-92,25",VERIFICACI”N DE ENCHARCAMIENTO,Soconusco,Tapachula,CABECERA MUNICIPAL
Encharcamiento,"mayo 23, 2017",HidrometeorolÛgicos,104.47,69,1,20.097,93,5,"16,75","-92,65",ENCHARCAMIENTO POR LLUVIAS FUERTES,Altos Tsotsil-Tseltal,San CristÛbal de las Casas,CABECERA MUNICIPAL
Verificaciones,"mayo 23, 2017",Acciones de PrevenciÛn,104.472,52,8,166,42,1,"16,71","-92,97",VERIFICACI”N DE ENCHARCAMIENTO DE VIVIENDA,Metropolitana,Chiapa de Corzo,CHIAPA DE CORZO
PrecipitaciÛn,"mayo 23, 2017",HidrometeorolÛgicos,104.496,1,1,20.097,93,5,"16,73","-92,63",ENCHARCAMIENTO POR FUERTES LLUVIAS,Altos Tsotsil-Tseltal,San CristÛbal de las Casas,CABECERA MUNICIPAL
Afectaciones por lluvias,"mayo 25, 2017",HidrometeorolÛgicos,104.689,80,1,20.119,115,1,"16,76","-93,19",AFECTACIONES POR LLUVIAS.,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"mayo 28, 2017",Acciones de PrevenciÛn,104.843,52,8,20.119,115,1,"16,78","-93,12",VERIFICACION DE CISTERNA INUNDADA DE AGUAS NEGRAS (POTINASPAK),Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"mayo 29, 2017",Acciones de PrevenciÛn,104.936,52,8,20.119,115,1,"16,80","-93,11",VERIFICACION DE VIVIENDAS AFECTADAS POR LLUVIAS DEMOCR¡TICA,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Boletines,"mayo 31, 2017",Acciones de PrevenciÛn,105.133,62,8,20.067,63,8,"17,61","-93,19",ALERTAMIENTO POR LLUVIAS MUY FUERTES POR LA DEPRESI”N TROPICAL E-2,Norte,Ju·rez,CABECERA MUNICIPAL
Boletines,"abril 30, 2017",Acciones de PrevenciÛn,105.155,62,8,490,63,8,"17,61","-93,19",ALERTAMIENTO POR TEMPORADA DE LLUVIAS Y CICLONES TROPICALES.,Norte,Ju·rez,DOCTOR BELISARIO DOMÕNGUEZ
Encharcamiento,"mayo 31, 2017",HidrometeorolÛgicos,105.171,69,1,184,55,10,"15,15","-92,46",ENCHARCAMIENTO DE VIVIENDAS POR ESCURRIMIENTOS DE LA PARTE SIERRA SOBRE EL RIO HUIXTLA,Soconusco,Huixtla,HUIXTLA
Tormenta Tropical,"junio 1, 2017",HidrometeorolÛgicos,105.179,5,1,20.132,128,12,"16,51","-90,65",VIVIENDA ENCHARCADA,Selva Lacandona,BenemÈrito de las AmÈricas,CABECERA MUNICIPAL
Verificaciones,"junio 1, 2017",Acciones de PrevenciÛn,105.221,52,8,2.145,117,10,"15,11","-92,46",VERIFICACI”N DE DESAZOLVE EN ARROYO ACAPA.,Soconusco,Tuzant·n,TERCER CANT”N
Verificaciones,"junio 2, 2017",Acciones de PrevenciÛn,105.32,52,8,20.084,80,13,"17,54","-91,99",ENCHARCAMIENTO DE AGUA,Maya,Palenque,CABECERA MUNICIPAL
PrecipitaciÛn,"junio 4, 2017",HidrometeorolÛgicos,105.392,1,1,20.071,67,15,"16,32","-91,99",AFECTACIONES POR LLUVIAS,Meseta Comiteca Tojolabal,Las Margaritas,CABECERA MUNICIPAL
Afectaciones por lluvias,"junio 6, 2017",HidrometeorolÛgicos,105.744,80,1,20.06,56,15,"16,23","-92,01",CASAS AFECTADAS POR LLUVIAS,Meseta Comiteca Tojolabal,La Independencia,CABECERA MUNICIPAL
PrecipitaciÛn,"junio 7, 2017",HidrometeorolÛgicos,105.746,1,1,4.144,56,15,"16,20","-91,86",BARRIO(EL CHAPARRO) AFECTADO,Meseta Comiteca Tojolabal,La Independencia,EL TRIUNFO
Afectaciones por lluvias,"junio 7, 2017",HidrometeorolÛgicos,105.75,80,1,20.071,67,15,"16,31","-91,99",REMOCI”N DE VIVIENDA AFECTADA,Meseta Comiteca Tojolabal,Las Margaritas,CABECERA MUNICIPAL
Verificaciones,"mayo 17, 2017",Acciones de PrevenciÛn,105.751,52,8,20.034,30,10,"14,99","-92,17",INSPECCI”N CASA HABITACI”N,Soconusco,Cacahoat·n,CABECERA MUNICIPAL
Afectaciones por lluvias,"junio 7, 2017",HidrometeorolÛgicos,105.786,80,1,20.071,67,15,"16,31","-91,99",AFECTACIONES POR LLUVIAS,Meseta Comiteca Tojolabal,Las Margaritas,CABECERA MUNICIPAL
Verificaciones,"junio 8, 2017",Acciones de PrevenciÛn,105.878,52,8,20.071,67,15,"16,30","-91,98",AFECTACIONES POR LLUVIAS,Meseta Comiteca Tojolabal,Las Margaritas,CABECERA MUNICIPAL
PrecipitaciÛn,"junio 11, 2017",HidrometeorolÛgicos,106.023,1,1,1.542,56,15,"16,25","-92,03",AFECTACIONES POR LLUVIAS,Meseta Comiteca Tojolabal,La Independencia,FRANCISCO SARABIA
Verificaciones,"junio 11, 2017",Acciones de PrevenciÛn,106.044,52,8,2.651,84,9,"15,76","-93,34",VERIFICACION DE VENTANA DEL RIO SAN ISIDRO,Istmo-Costa,Pijijiapan,SAN ISIDRO
Verificaciones,"junio 11, 2017",Acciones de PrevenciÛn,106.073,52,8,2.711,69,10,"14,96","-92,51",VERIFICACION DE COMPUERTA,Soconusco,Mazat·n,ADOLFO L”PEZ MATEOS
Afectaciones por lluvias,"junio 11, 2017",HidrometeorolÛgicos,106.091,80,1,253,118,15,"16,18","-92,18",AFECTACIONES POR LLUVIAS EN TZIMOL,Meseta Comiteca Tojolabal,Tzimol,TZIMOL
Afectaciones por lluvias,"junio 11, 2017",HidrometeorolÛgicos,106.092,80,1,20.084,80,13,"17,51","-91,99",AFECTACIONES POR LLUVIAS,Maya,Palenque,CABECERA MUNICIPAL
Afectaciones por lluvias,"junio 12, 2017",HidrometeorolÛgicos,106.125,80,1,11.375,74,12,"16,91","-92,09",AFECTACIONES POR LLUVIAS EN OCOSINGO (VALLE SANTO DOMINGO),Selva Lacandona,Ocosingo,SANTO DOMINGO
Baja PresiÛn,"junio 12, 2017",HidrometeorolÛgicos,106.196,2,1,1.848,49,11,"15,66","-92,14",ENCHARCAMIENTOS DE VIVIENDAS,Sierra Mariscal,Frontera Comalapa,JOAQUÕN MIGUEL GUTI…RREZ (QUESPALA)
Baja PresiÛn,"junio 12, 2017",HidrometeorolÛgicos,106.199,2,1,20.117,113,15,"16,16","-92,06",ENCHARCAMENTOS DE VIVIENDAS,Meseta Comiteca Tojolabal,La Trinitaria,CABECERA MUNICIPAL
Encharcamiento,"junio 12, 2017",HidrometeorolÛgicos,106.204,69,1,163,39,5,"16,65","-92,27",ENCHARCAMIENTOS,Altos Tsotsil-Tseltal,Chanal,CHANAL
Baja PresiÛn,"junio 13, 2017",HidrometeorolÛgicos,106.277,2,1,13.489,74,12,"16,91","-92,09",ENCHARCAMIENTOS DE VIVIENDAS,Selva Lacandona,Ocosingo,BETHEL
Tormenta Tropical,"junio 11, 2017",HidrometeorolÛgicos,106.312,5,1,12.333,46,14,"17,07","-91,93",VERIFICACION DE UNA ESCUELA SECUNDARIA AFECTADO POR DESBORDAMIENTO DE RIO JETJA.,Tulij· Tseltal-Chol,ChilÛn,JET-J¡
Baja PresiÛn,"junio 12, 2017",HidrometeorolÛgicos,106.315,2,1,764,113,15,"15,90","-91,99",ENCHARCAMIENTO DE VIVIENDAS,Meseta Comiteca Tojolabal,La Trinitaria,NUEVO RECUERDO
Verificaciones,"junio 14, 2017",Acciones de PrevenciÛn,106.366,52,8,166,42,1,"16,74","-93,03",VALORACI”N DE RIESGO,Metropolitana,Chiapa de Corzo,CHIAPA DE CORZO
Afectaciones por lluvias,"junio 14, 2017",HidrometeorolÛgicos,106.393,80,1,4.866,113,15,"16,02","-92,09",AFECTACIONES POR LLUVIAS,Meseta Comiteca Tojolabal,La Trinitaria,FRANCISCO VILLA
