Causa,Fecha_Evento,Fenomeno,idEvento,idFenomeno_1,idFenomeno,idLocalidad,idMunicipio,idRegion,Latitud,Longitud,Nombre,Nombre_1,Nombre_12,Nombre_12_
PrecipitaciÛn,"diciembre 15, 2013",HidrometeorolÛgicos,36.652,1,1,20.127,123,14,"17,17","-92,33",PROTOCOLOS DE ATENCI”N DE EMERGENCIAS POR FF-19,Tulij· Tseltal-Chol,YajalÛn,CABECERA MUNICIPAL
PrecipitaciÛn,"diciembre 16, 2013",HidrometeorolÛgicos,36.694,1,1,20.096,92,14,"17,56","-92,34",ENCHARCAMIENTO EN CABECERA MUNICIPAL,Tulij· Tseltal-Chol,Salto de Agua,CABECERA MUNICIPAL
PrecipitaciÛn,"diciembre 16, 2013",HidrometeorolÛgicos,36.701,1,1,3.395,77,8,"17,41","-93,33",AFECTACIONES POR LLUVIAS,Norte,Ostuac·n,LA PE—A 2DA. SECCI”N
Verificaciones,"diciembre 21, 2013",Acciones de PrevenciÛn,36.863,52,8,3.047,60,8,"17,50","-93,01",TRABAJOS DE REDUCCION DE RIESGOS DE INUNDACI”N,Norte,Ixtapangajoya,NUEVO POBLADO LLANOS MORELOS
Baja PresiÛn,"diciembre 22, 2013",HidrometeorolÛgicos,36.892,2,1,20.067,63,8,"17,61","-93,20",SESION EXTRAORDINARIA DEL CONSEJO MUNICIPAL DE P.C. POR EL FRENTE FRIO NUM. 20,Norte,Ju·rez,CABECERA MUNICIPAL
Encharcamiento,"diciembre 23, 2013",HidrometeorolÛgicos,36.935,69,1,20.087,83,8,"17,51","-93,12",AFECTACIONES POR LLUVIA FRENTE FRIO NUM. 20,Norte,Pichucalco,CABECERA MUNICIPAL
Afectaciones por lluvias,"diciembre 23, 2013",HidrometeorolÛgicos,36.947,80,1,1.26,63,8,"17,61","-93,19",AFECTACIONES POR LLUVIAS FRENTE FRIO NUM 20,Norte,Ju·rez,LAS MIRANDAS
PrecipitaciÛn,"diciembre 23, 2013",HidrometeorolÛgicos,36.96,1,1,20.093,89,8,"17,86","-93,16",FRENTE FRIO N 20,Norte,Reforma,CABECERA MUNICIPAL
PrecipitaciÛn,"enero 2, 2014",HidrometeorolÛgicos,37.298,1,1,20.087,83,8,"17,51","-93,12",MONITORE RIO PICHUCALCO FF23,Norte,Pichucalco,CABECERA MUNICIPAL
PrecipitaciÛn,"enero 3, 2014",HidrometeorolÛgicos,37.304,1,1,2.46,63,8,"17,61","-93,20",RECORRIDO EN COMUNIDADES PARA VERIFICAR DA—OS POR LLUVIAS.,Norte,Ju·rez,SANTA CRUZ TEPATE ABAJO
Verificaciones,"enero 9, 2014",Acciones de PrevenciÛn,37.529,52,8,3.047,60,8,"17,51","-93,01",CONSTRUCCION DE CAMELLON CON COSTALERIA DE ARENA,Norte,Ixtapangajoya,NUEVO POBLADO LLANOS MORELOS
PrecipitaciÛn,"enero 6, 2014",HidrometeorolÛgicos,37.535,1,1,20.052,48,3,"17,32","-93,24",AFECTACION EN VIVIENDAS,Mezcalapa,Francisco LeÛn,CABECERA MUNICIPAL
Verificaciones,"enero 21, 2014",Acciones de PrevenciÛn,37.938,52,8,20.087,83,8,"17,51","-93,12",IDENTIFICACI”N DE RIESGOS POR ASOLVAMIENTO DEL RIO PICHUCALCO,Norte,Pichucalco,CABECERA MUNICIPAL
Verificaciones,"febrero 5, 2014",Acciones de PrevenciÛn,38.538,52,8,20.07,66,9,"15,46","-92,89",VERIFICACION DE VIVIENDAS QUE SOLICITAN AGUA POTABLE,Istmo-Costa,Mapastepec,CABECERA MUNICIPAL
PrecipitaciÛn,"febrero 10, 2014",HidrometeorolÛgicos,38.763,1,1,20.071,67,15,"16,31","-91,99",MONITOREO POR FUERTE LLUVIA,Meseta Comiteca Tojolabal,Las Margaritas,CABECERA MUNICIPAL
Verificaciones,"febrero 19, 2014",Acciones de PrevenciÛn,39.115,52,8,1.106,69,10,"14,85","-92,42",VERIFICACI”N FÕSICA DE LOS DRENES BUENA VISTA Y LA COMPUERTA.,Soconusco,Mazat·n,CUATRO CAMINOS
Baja PresiÛn,"abril 3, 2014",HidrometeorolÛgicos,41.383,2,1,20.117,113,15,"16,11","-92,05",ARBOL DERRIBADO,Meseta Comiteca Tojolabal,La Trinitaria,CABECERA MUNICIPAL
PrecipitaciÛn,"abril 5, 2014",HidrometeorolÛgicos,41.482,1,1,19.972,74,12,"16,91","-92,09",ENCHARCAMIENTO EN VIVIENDA.,Selva Lacandona,Ocosingo,SAN JOS…
PrecipitaciÛn,"abril 7, 2014",HidrometeorolÛgicos,41.6,1,1,20.087,83,8,"17,52","-93,12",ENCHARCAMIENTO DE VIALIDADES FF49,Norte,Pichucalco,CABECERA MUNICIPAL
Frente FrÌo,"abril 7, 2014",HidrometeorolÛgicos,41.608,61,1,246,110,14,"17,25","-92,48",LLUVIAS FUERTE EN EL MUNICIPIO DE TILA,Tulij· Tseltal-Chol,Tila,TILA
Verificaciones,"abril 21, 2014",Acciones de PrevenciÛn,42.495,52,8,166,42,1,"16,71","-93,01",PATIO INUNDADO EN FRACC. SANTA FE,Metropolitana,Chiapa de Corzo,CHIAPA DE CORZO
Verificaciones,"abril 23, 2014",Acciones de PrevenciÛn,42.607,52,8,1.26,63,8,"17,61","-93,20",TRABAJOS DE REDUCCION DE RIESGOS PARA PREVENIR INUNDACIONES,Norte,Ju·rez,LAS MIRANDAS
Frente FrÌo,"abril 27, 2014",HidrometeorolÛgicos,42.78,61,1,197,113,15,"16,13","-92,05",ENCHARCAMIENTO (CAPACITACION),Meseta Comiteca Tojolabal,La Trinitaria,LA TRINITARIA
Verificaciones,"abril 28, 2014",Acciones de PrevenciÛn,42.849,52,8,642,83,8,"17,61","-93,38",IDENTIFICACION DE RIESGOS POR ESTRUCTURA DE PUENTE TUBULAR,Norte,Pichucalco,PLUTARCO ELÕAS CALLES
PrecipitaciÛn,"abril 30, 2014",HidrometeorolÛgicos,42.945,1,1,480,99,8,"17,43","-93,03",AFECTACION DE VIVIENDAS,Norte,Solosuchiapa,CERRO LAS CAMPANAS
Afectaciones por lluvias,"abril 29, 2014",HidrometeorolÛgicos,42.976,80,1,20.053,49,11,"15,66","-92,14",ENCHARCAMIENTO DE VIVIENDA,Sierra Mariscal,Frontera Comalapa,CABECERA MUNICIPAL
PrecipitaciÛn,"mayo 1, 2014",HidrometeorolÛgicos,43.02,1,1,20.071,67,15,"16,31","-91,98",ENCHARCAMIENTOS EN VIVIENDAS POR FUERTE LLUVIA,Meseta Comiteca Tojolabal,Las Margaritas,CABECERA MUNICIPAL
Verificaciones,"mayo 6, 2014",Acciones de PrevenciÛn,43.178,52,8,20.053,49,11,"15,65","-92,14",DESAZOLVE DEL RIO JAMAIPAK,Sierra Mariscal,Frontera Comalapa,CABECERA MUNICIPAL
Verificaciones,"mayo 6, 2014",Acciones de PrevenciÛn,43.275,52,8,3.295,64,5,"16,88","-92,71",ALCANTARILLA OBSTRUIDO,Altos Tsotsil-Tseltal,Larr·inzar,YOLT…
PrecipitaciÛn,"mayo 11, 2014",HidrometeorolÛgicos,43.383,1,1,4.144,56,15,"16,20","-91,86",ENCHARCAMIENTO EL TRIUNFO,Meseta Comiteca Tojolabal,La Independencia,EL TRIUNFO
Encharcamiento,"mayo 19, 2014",HidrometeorolÛgicos,43.806,69,1,227,93,5,"16,71","-92,62",ENCHARCAMIENTO EN COBACH PLANTEL 11,Altos Tsotsil-Tseltal,San CristÛbal de las Casas,SAN CRIST”BAL DE LAS CASAS
PrecipitaciÛn,"mayo 19, 2014",HidrometeorolÛgicos,43.848,1,1,3.047,60,8,"17,50","-93,00",VIVIENDAS INUNDADAS,Norte,Ixtapangajoya,NUEVO POBLADO LLANOS MORELOS
PrecipitaciÛn,"mayo 20, 2014",HidrometeorolÛgicos,43.849,1,1,1.323,83,8,"17,52","-93,12",ENCHARCAMIENTO DE TRAMOS CARRETEROS Y VIVIENDAS POR DESBORDAMIENTO DEL RIO PLATANAR,Norte,Pichucalco,PLATANAR ABAJO 1RA. SECCI”N (LA CRIMEA)
PrecipitaciÛn,"mayo 20, 2014",HidrometeorolÛgicos,43.852,1,1,3.356,77,8,"17,41","-93,34",AFECTACIONES A CULTIVOS DE MAIZ POR DESBORDAMIENTO DEL ARROYO COPANO,Norte,Ostuac·n,LA PE—A 1RA. SECCI”N
Encharcamiento,"mayo 20, 2014",HidrometeorolÛgicos,43.873,69,1,227,93,5,"16,73","-92,63",ENCHARCAMIENTO EN SAN CRIST”BAL,Altos Tsotsil-Tseltal,San CristÛbal de las Casas,SAN CRIST”BAL DE LAS CASAS
PrecipitaciÛn,"mayo 21, 2014",HidrometeorolÛgicos,43.927,1,1,251,115,1,"16,75","-93,11",LLUVIAS EN TUXTLA GUTIERREZ.,Metropolitana,Tuxtla GutiÈrrez,TUXTLA GUTI…RREZ
Verificaciones,"mayo 21, 2014",Acciones de PrevenciÛn,43.931,52,8,5.226,55,10,"15,05","-92,57",OBRAS DE MITIGACION DE RIESGOS EN COORDINACION CON COMITES DE PREVENCION,Soconusco,Huixtla,TZINACAL BUENOS AIRES
Tormenta Tropical,"mayo 22, 2014",HidrometeorolÛgicos,43.961,5,1,20.119,115,1,"16,73","-93,17",ALERTA POR TORMENTA TROPICAL AMANDA.,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
PrecipitaciÛn,"mayo 23, 2014",HidrometeorolÛgicos,44.012,1,1,20.119,115,1,"16,75","-93,11",REPORTES DE LLUVIAS EN TGZ,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Rescate,"mayo 23, 2014",Accidentes o incidentes,44.028,70,6,20.119,115,1,"16,76","-93,14",PERSONAS ATRAPADAS,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Encharcamiento,"mayo 24, 2014",HidrometeorolÛgicos,44.082,69,1,227,93,5,"16,75","-92,65",ENCHARCAMIENTO EN SAN CRIST”BAL,Altos Tsotsil-Tseltal,San CristÛbal de las Casas,SAN CRIST”BAL DE LAS CASAS
PrecipitaciÛn,"mayo 27, 2014",HidrometeorolÛgicos,44.193,1,1,20.119,115,1,"16,76","-93,07",INUNDACI”N DE DOMICILIO,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
PrecipitaciÛn,"mayo 26, 2014",HidrometeorolÛgicos,44.203,1,1,20.119,115,1,"16,74","-93,11",LLUVIAS MUY FUERTES EN TUXTLA GUTIERREZ.,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Onda tropical,"mayo 28, 2014",HidrometeorolÛgicos,44.277,3,1,251,115,1,"16,75","-93,11",TORMENTA TROPICAL,Metropolitana,Tuxtla GutiÈrrez,TUXTLA GUTI…RREZ
PrecipitaciÛn,"mayo 29, 2014",HidrometeorolÛgicos,44.288,1,1,20.119,115,1,"16,73","-93,17",LECTURA DEL PROCEDA,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"mayo 29, 2014",Acciones de PrevenciÛn,44.327,52,8,7.842,104,10,"14,91","-92,33",VERIFICACI”N DE ENCHARCAMIENTO,Soconusco,Tapachula,VIVA M…XICO
PrecipitaciÛn,"mayo 29, 2014",HidrometeorolÛgicos,44.333,1,1,20.032,28,7,"16,99","-92,89",ENCHARCAMIENTO DE VIVIENDAS,De Los Bosques,Bochil,CABECERA MUNICIPAL
Baja PresiÛn,"junio 1, 2014",HidrometeorolÛgicos,44.438,2,1,3.961,67,15,"16,36","-91,85",VERIFICACION DE VIVIENDAS AFECTADAS.,Meseta Comiteca Tojolabal,Las Margaritas,NUEVO HUIXT¡N
Verificaciones,"junio 1, 2014",Acciones de PrevenciÛn,44.443,52,8,9.272,104,10,"14,64","-92,30",VERIFICACION DE RIOS.,Soconusco,Tapachula,LA CIG‹E—A
Baja PresiÛn,"junio 1, 2014",HidrometeorolÛgicos,44.445,2,1,20.106,102,10,"14,68","-92,15","SEGUNDA SESI”N EXTRAORDINARIA DEL CONSEJO MUNICIPAL DE PROTECCI”N CIVIL, DERIVADO DE LA TEMPORADA DE LLUVIAS Y CICLONES TROPICALES 2014",Soconusco,Suchiate,CABECERA MUNICIPAL
Tormenta Tropical,"mayo 25, 2014",HidrometeorolÛgicos,44.464,5,1,20.073,69,10,"14,86","-92,45","PRIMERA SESI”N EXTRAORDINARIA DEL CONSEJO MUNICIPAL DE PROTECCI”N CIVIL, VILLA MAZATAN.",Soconusco,Mazat·n,CABECERA MUNICIPAL
DepresiÛn tropical,"junio 1, 2014",HidrometeorolÛgicos,44.466,4,1,20.073,69,10,"14,86","-92,45",SEGUNDA SESI”N DEL CONSEJO MUNICIPAL DE PC DE VILLA MAZATAN POR DEPRESI”N TROPICAL,Soconusco,Mazat·n,CABECERA MUNICIPAL
DepresiÛn tropical,"junio 2, 2014",HidrometeorolÛgicos,44.481,4,1,20.027,23,6,"15,87","-92,72",LLUVIAS DEPRESION TROPICAL 2-E TORMENTA TROPICAL BORIS,Frailesca,Angel Albino Corzo,CABECERA MUNICIPAL
Verificaciones,"junio 2, 2014",Acciones de PrevenciÛn,44.485,52,8,20.119,115,1,"16,77","-93,11",ENCHARCAMIENTO DE DOMICILIO,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"junio 2, 2014",Acciones de PrevenciÛn,44.491,52,8,20.119,115,1,"16,77","-93,13",ENCHARCAMIENTO EN DOMICILIOS,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"junio 2, 2014",Acciones de PrevenciÛn,44.492,52,8,20.119,115,1,"16,75","-93,10",ENCHARCAMIENTO DE DOMICILIO,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"junio 2, 2014",Acciones de PrevenciÛn,44.503,52,8,20.119,115,1,"16,77","-93,15",ENCHARCAMIENTO DE DOMICILIO,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"junio 2, 2014",Acciones de PrevenciÛn,44.517,52,8,20.105,101,1,"16,62","-93,10",TORMENTA TROPICAL BORIS,Metropolitana,Suchiapa,CABECERA MUNICIPAL
DepresiÛn tropical,"junio 2, 2014",HidrometeorolÛgicos,44.518,4,1,227,93,5,"16,74","-92,64",REPORTE POR LLUVIAS ZONA Y LA APERTURA DEL REFUGIO TEMPORAL,Altos Tsotsil-Tseltal,San CristÛbal de las Casas,SAN CRIST”BAL DE LAS CASAS
Encharcamiento,"junio 3, 2014",HidrometeorolÛgicos,44.534,69,1,227,93,5,"16,75","-92,65",ENCHARCAMIENTOS EN LA COLONIA EMILIANO ZAPATA,Altos Tsotsil-Tseltal,San CristÛbal de las Casas,SAN CRIST”BAL DE LAS CASAS
Verificaciones,"junio 3, 2014",Acciones de PrevenciÛn,44.545,52,8,11.958,104,10,"14,74","-92,41",VERIFICACION A CONUNIDADES.,Soconusco,Tapachula,EL ENCANTO
Tormenta Tropical,"junio 3, 2014",HidrometeorolÛgicos,44.549,5,1,250,116,10,"14,94","-92,17",TORMENTA TROPICAL BORIS,Soconusco,Tuxtla Chico,TUXTLA CHICO
DepresiÛn tropical,"junio 3, 2014",HidrometeorolÛgicos,44.558,4,1,20.106,102,10,"14,68","-92,15","MONITOREO DE COMUNIDADES AFECTADAS , TRAS EL PASO DE LA DEPRESION TROPICAL 2-E",Soconusco,Suchiate,CABECERA MUNICIPAL
Tormenta Tropical,"junio 3, 2014",HidrometeorolÛgicos,44.568,5,1,12.123,84,9,"15,68","-93,21",TORMENTA TROPICAL BORIS,Istmo-Costa,Pijijiapan,LA CONQUISTA
Tormenta Tropical,"junio 3, 2014",HidrometeorolÛgicos,44.57,5,1,20.073,69,10,"14,86","-92,45",TERCERA SESION EXTRAORDINARIA DEL CONSEJO DE PROTECCI”N CIVIL DE VILLA MAZATAN POR PASO DE LA TORMENTA TROPICAL BORIS.,Soconusco,Mazat·n,CABECERA MUNICIPAL
DepresiÛn tropical,"junio 3, 2014",HidrometeorolÛgicos,44.582,4,1,14.367,120,4,"16,35","-92,56",AFECTACIONES POR FUERTES LLUVIAS,De los Llanos,Venustiano Carranza,VEGA DEL CHALCHI
PrecipitaciÛn,"junio 9, 2014",HidrometeorolÛgicos,44.583,1,1,4.506,45,11,"15,75","-92,40",COMUNIDAD PLAN DE AYALA,Sierra Mariscal,Chicomuselo,PLAN DE AYALA
Verificaciones,"junio 3, 2014",Acciones de PrevenciÛn,44.604,52,8,20.119,115,1,"16,76","-93,14",INUNDACION DE DOMICILIO,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Baja PresiÛn,"junio 4, 2014",HidrometeorolÛgicos,44.607,2,1,20.073,69,10,"14,86","-92,45",CUARTA SESI”N DEL CONSEJO MUNICIPAL DE PROTECCI”N CIVIL DE VILLA MAZATAN,Soconusco,Mazat·n,CABECERA MUNICIPAL
Tormenta Tropical,"junio 4, 2014",HidrometeorolÛgicos,44.647,5,1,6.526,111,9,"16,01","-93,85","REPORTE DE ACCIONES DE EVALUACI”N DE DA—OS A VIVIENDAS SAN LUQUE—O (LA COSTA), TONALA",Istmo-Costa,Tonal·,SAN LUQUE—O
Deslizamiento,"junio 5, 2014",GeolÛgicos,44.66,22,3,4.177,19,12,"16,73","-92,04",DESLIZAMIENTO DE TIERRA EN EL EJIDO VENUSTIANO CARRANZA,Selva Lacandona,Altamirano,VENUSTIANO CARRANZA
Deslizamiento,"junio 5, 2014",GeolÛgicos,44.663,22,3,10.228,19,12,"16,73","-92,03",DESLIZAMIENTO DE TIERRA EN EL EJIDO SAN ANTONIO MONTERREY,Selva Lacandona,Altamirano,SAN ANTONIO MONTERREY
Afectaciones por lluvias,"junio 5, 2014",HidrometeorolÛgicos,44.699,80,1,3.096,30,10,"15,08","-92,20",RECORRIDOS Y VERIFICACIONES POR DERRUMBES DEBIDO ALAS LLUVIAS,Soconusco,Cacahoat·n,UNI”N ROJA
PrecipitaciÛn,"junio 5, 2014",HidrometeorolÛgicos,44.7,1,1,20.038,34,15,"16,25","-92,12",ENCHARCAMIENTOS EN DIFERENTES PTOS. DE LA CABECERA MUNICIPAL,Meseta Comiteca Tojolabal,Comitan de Dominguez,CABECERA MUNICIPAL
PrecipitaciÛn,"junio 6, 2014",HidrometeorolÛgicos,44.721,1,1,20.119,115,1,"16,74","-93,17",LLUVIAS EN TGZ.,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"junio 6, 2014",Acciones de PrevenciÛn,44.722,52,8,20.119,115,1,"16,79","-93,10",INUNDACION DE DOMICILIO,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
PrecipitaciÛn,"junio 6, 2014",HidrometeorolÛgicos,44.737,1,1,20.038,34,15,"16,24","-92,12",ENCHARCAMIENTO EN FRACCIONAMIENTO LAS FLORES,Meseta Comiteca Tojolabal,Comitan de Dominguez,CABECERA MUNICIPAL
Encharcamiento,"junio 6, 2014",HidrometeorolÛgicos,44.738,69,1,227,93,5,"16,71","-92,61",ENCHARCAMIENTO EN SAN CRIST”BAL,Altos Tsotsil-Tseltal,San CristÛbal de las Casas,SAN CRIST”BAL DE LAS CASAS
PrecipitaciÛn,"junio 7, 2014",HidrometeorolÛgicos,44.755,1,1,157,27,1,"16,79","-93,27",ENCHARCAMIENTO DE VIVIENDA POR TAPONAMIENTO DE DRENAJE,Metropolitana,Berrioz·bal,BERRIOZ¡BAL
PrecipitaciÛn,"junio 8, 2014",HidrometeorolÛgicos,44.762,1,1,13.799,27,1,"16,80","-93,27",SALIDA DEL ARROYO LA BRUJA BARRIO SAN MIGUEL,Metropolitana,Berrioz·bal,SAN MIGUEL
PrecipitaciÛn,"junio 8, 2014",HidrometeorolÛgicos,44.794,1,1,7.386,27,1,"16,79","-93,27",VERIFICACION DE AFECTACIONES POR LLUVIAS.,Metropolitana,Berrioz·bal,UNI”N HIDALGO
Afectaciones por lluvias,"junio 10, 2014",HidrometeorolÛgicos,44.848,80,1,10.621,27,1,"16,81","-93,28",VIVIENDA AFECTADA POR LLUVIAS.,Metropolitana,Berrioz·bal,SAN JERONIMO (SOLIDARIDAD)
Verificaciones,"junio 9, 2014",Acciones de PrevenciÛn,44.849,52,8,5.689,98,4,"16,24","-92,35",ENCHARCAMIENTO POR MUCHA LLUVIA EN LA COMUNIDAD DE SAN VICENTE,De los Llanos,Socoltenango,SAN VICENTE
Verificaciones,"junio 10, 2014",Acciones de PrevenciÛn,44.865,52,8,20.119,115,1,"16,74","-93,10",ENCHARCAMIENTO DE DOMICILIO,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"junio 10, 2014",Acciones de PrevenciÛn,44.879,52,8,20.119,115,1,"16,75","-93,10",INUNDACION DE DOMICILIO,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"junio 10, 2014",Acciones de PrevenciÛn,44.884,52,8,20.119,115,1,"16,77","-93,12",ENCHARCAMIENTO DE DOMICILIO,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"junio 10, 2014",Acciones de PrevenciÛn,44.885,52,8,20.119,115,1,"16,74","-93,10",ENCHARCAMIENTO DE DOMICILIO,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"junio 11, 2014",Acciones de PrevenciÛn,44.888,52,8,20.119,115,1,"16,74","-93,12",ENCHARCAMIENTO DE DOMICILIO,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"junio 11, 2014",Acciones de PrevenciÛn,44.889,52,8,20.119,115,1,"16,74","-93,17",ENCHARCAMIENTO DE DOMICILIO,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"junio 11, 2014",Acciones de PrevenciÛn,44.89,52,8,20.119,115,1,"16,74","-93,18",ENCHARCAMIENTO DE DOMICILIO,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"junio 11, 2014",Acciones de PrevenciÛn,44.891,52,8,20.119,115,1,"16,75","-93,17",ENCHARCAMIENTO DE DOMICILIO,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Encharcamiento,"junio 19, 2014",HidrometeorolÛgicos,45.157,69,1,20.09,86,10,"15,23","-92,56",VIVIENDAS ENCHARCADAS EN EL MUNICIPIO DE VILLA DE COMATITLAN,Soconusco,Villa Comaltitl·n,CABECERA MUNICIPAL
PrecipitaciÛn,"junio 19, 2014",HidrometeorolÛgicos,45.161,1,1,20.025,21,11,"15,43","-92,11",AFECTACIONES A VIVIENDAS,Sierra Mariscal,Amatenango de la Frontera,CABECERA MUNICIPAL
Verificaciones,"junio 19, 2014",Acciones de PrevenciÛn,45.174,52,8,952,89,8,"17,98","-93,28",TRABAJOS DE IDENTIFICACION DE RIESGO MACAYO 1ERA.,Norte,Reforma,MACAYO 1RA. SECCI”N (LAS MERCEDES)
Afectaciones por lluvias,"junio 19, 2014",HidrometeorolÛgicos,45.199,80,1,171,32,2,"16,57","-93,82",VERIFICACIONES,Valles Zoque,Cintalapa,CINTALAPA DE FIGUEROA
Encharcamiento,"junio 19, 2014",HidrometeorolÛgicos,45.2,69,1,227,93,5,"16,71","-92,61",ENCHARCAMIENTO EN COLONIA EL CAMPANARIO,Altos Tsotsil-Tseltal,San CristÛbal de las Casas,SAN CRIST”BAL DE LAS CASAS
Encharcamiento,"junio 20, 2014",HidrometeorolÛgicos,45.201,69,1,15.878,32,2,"16,69","-93,72",ENCHARCAMIENTO POR LLUVIAS,Valles Zoque,Cintalapa,SANTA CECILIA
PrecipitaciÛn,"junio 20, 2014",HidrometeorolÛgicos,45.222,1,1,20.145,20.141,6,"16,36","-93,00",ENCHARCAMIENTO POR LLUVIAS,Frailesca,El Parral,CABECERA MUNICIPAL
Verificaciones,"junio 22, 2014",Acciones de PrevenciÛn,45.293,52,8,20.119,115,1,"16,76","-93,18",ENCHARCAMIENTO DE DOMICILIO,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"junio 22, 2014",Acciones de PrevenciÛn,45.294,52,8,20.119,115,1,"16,74","-93,10",ENCHARCAMIENTO DE DOMICILIO,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Deslizamiento,"junio 25, 2014",GeolÛgicos,45.401,22,3,12.913,67,15,"16,38","-91,67",DESLIZAMIENTO DE TIERRA SOBRE VIVIENDA,Meseta Comiteca Tojolabal,Las Margaritas,VICTORIA LA PAZ
Verificaciones,"junio 25, 2014",Acciones de PrevenciÛn,45.403,52,8,20.038,34,15,"16,24","-92,11","VERIFICACION DE SECUNDARIA, POR PROBLEMAS EN EL DRENAJE",Meseta Comiteca Tojolabal,Comitan de Dominguez,CABECERA MUNICIPAL
PrecipitaciÛn,"junio 26, 2014",HidrometeorolÛgicos,45.439,1,1,7.284,62,7,"17,07","-92,86",DESASOLVE DE CUNETAS,De Los Bosques,Jitotol,LAGUNA DE P¡JAROS AZULES
PrecipitaciÛn,"junio 27, 2014",HidrometeorolÛgicos,45.459,1,1,20.119,115,1,"16,75","-93,10",LECTURA DEL PROCEDA,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Afectaciones por lluvias,"junio 27, 2014",HidrometeorolÛgicos,45.489,80,1,1.541,94,3,"16,88","-93,21",PRELIMIMAR: DESBORDAMIENTO DE RIO,Mezcalapa,San Fernando,FRANCISCO I. MADERO
PrecipitaciÛn,"junio 27, 2014",HidrometeorolÛgicos,45.517,1,1,1.541,94,3,"16,87","-93,20",ENCHARCAMIENTO,Mezcalapa,San Fernando,FRANCISCO I. MADERO
Onda tropical,"junio 29, 2014",HidrometeorolÛgicos,45.555,3,1,251,115,1,"16,75","-93,11",ONDA TROPICAL NO. 7,Metropolitana,Tuxtla GutiÈrrez,TUXTLA GUTI…RREZ
Encharcamiento,"junio 29, 2014",HidrometeorolÛgicos,45.561,69,1,227,93,5,"16,74","-92,66",ENCHARCAMIENTOS EN PERIF…RICO PONIENTE,Altos Tsotsil-Tseltal,San CristÛbal de las Casas,SAN CRIST”BAL DE LAS CASAS
Deslizamiento,"junio 30, 2014",GeolÛgicos,45.594,22,3,5.157,46,14,"17,09","-92,25",VERIFICACION DE ESCUELA.,Tulij· Tseltal-Chol,ChilÛn,MAJASIL
Encharcamiento,"junio 30, 2014",HidrometeorolÛgicos,45.603,69,1,227,93,5,"16,74","-92,66",ENCHARCAMIENTO POR SATURACI”N DEL SUS DRENES PLUVIALES.,Altos Tsotsil-Tseltal,San CristÛbal de las Casas,SAN CRIST”BAL DE LAS CASAS
Verificaciones,"julio 1, 2014",Acciones de PrevenciÛn,45.636,52,8,20.091,87,7,"17,11","-92,87",LIMPIEZA,De Los Bosques,Pueblo Nuevo Solistahuac·n,CABECERA MUNICIPAL
PrecipitaciÛn,"julio 1, 2014",HidrometeorolÛgicos,45.654,1,1,20.119,115,1,"16,73","-93,17",LLUVIAS EN LA REGION METROPOLITANA,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
PrecipitaciÛn,"julio 5, 2014",HidrometeorolÛgicos,45.784,1,1,20.119,115,1,"16,74","-93,17",LECTURA DEL PROCEDA,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
PrecipitaciÛn,"julio 5, 2014",HidrometeorolÛgicos,45.805,1,1,887,116,10,"14,94","-92,21",DA—OS OCASIONADOS A VIVIENDA,Soconusco,Tuxtla Chico,MIGUEL HIDALGO
Verificaciones,"julio 5, 2014",Acciones de PrevenciÛn,45.807,52,8,6.103,104,10,"14,72","-92,42",MONITOREO POR MAR DE FONDO.,Soconusco,Tapachula,PUERTO MADERO (SAN BENITO)
